enc_input,dec_input
पहली समान विद्यालय व्यवस्था और दूसरी देश की शिक्षा स्नातकोत्तर स्तर तक अपनी भाषाओं में दी जानी चाहिए.,पहली समान विद्यालय व्यवस्था और दूसरे देश की शिक्षा स्नातकोत्तर स्तर तक अपनी भाषाओं में दी जानी चाहिए.
नोएडा एशिया की सबसे बड़ी औद्योगिक उपनगरों में से एक है.,नोएडा एशिया के सबसे बड़े औद्योगिक उपनगरों में से एक है.
यहां एक पुरानी और समृद्ध पुस्तकालय भी है.,यहां एक पुराना और समृद्ध पुस्तकालय भी है.
इस रणनीति को भारत ने पूर्वी पाकिस्तान  आज का बंग्लादेश  मे भारत पाकिस्तान के बीच तीसरा युद्ध मे सफलता पूर्वक प्रयोग किया.,इस रणनीति को भारत ने पूर्वी पाकिस्तान  आज का बंग्लादेश  मे भारत पाकिस्तान के बीच तीसरे युद्ध मे सफलता पूर्वक प्रयोग किया.
यह अरुणाचल प्रदेश के लोहित जिला की उत्तर पूर्वी दिशा में २४ किमी की दूरी पर स्थित है.,यह अरुणाचल प्रदेश के लोहित जिला की उत्तर पूर्व दिशा में २४ किमी की दूरी पर स्थित है.
उनका सबसे छोटा भाई बुरहानुद्दीन ओवैसी इटैमाद के संपादक हैं.,उनके सबसे छोटे भाई बुरहानुद्दीन ओवैसी इटैमाद के संपादक हैं.
भारत में दूसरा पंचवर्षीय योजना के तहत आवंटित कुल राशि 4800 करोड़ रुपए थी.,भारत में दूसरी पंचवर्षीय योजना के तहत आवंटित कुल राशि 4800 करोड़ रुपए थी.
एमिटी विश्वविद्यालय भारत की सबसे बड़ी निजी विश्वविद्यालय है.,एमिटी विश्वविद्यालय भारत का सबसे बड़ा निजी विश्वविद्यालय है.
"इनका प्रयोग दक्षिण एशिया, दक्षिणपूर्व एशिया में होता है, तथा मध्य व पूर्व एशिया के कुछ भागों में भी होता है.","इनका प्रयोग दक्षिण एशिया, दक्षिणपूर्व एशिया में होता है, तथा मध्य व पूर्वी एशिया के कुछ भागों में भी होता है."
"इनका प्रयोग दक्षिण एशिया, दक्षिणपूर्व एशिया में होता है, तथा मध्य व पूर्वी एशिया के कुछ भागों में भी होता है.","इनका प्रयोग दक्षिण एशिया, दक्षिणपूर्व एशिया में होता है, तथा मध्य व पूर्व एशिया के कुछ भागों में भी होता है."
लंबे ऊन की लंबाई और मोटाई तथा महीन ऊन की बारीकी और घनत्व के बीच यह ऊन है.,लंबी ऊन की लंबाई और मोटाई तथा महीन ऊन की बारीकी और घनत्व के बीच यह ऊन है.
यह बहुत घना और शुष्क होता है.,यह बहुत घनी और शुष्क होती है.
"सभी नस्लों में सबसे बड़े कद की भेड़ें, जिनका मांस खाने के काम में आता है, लंबा ऊन पैदा करती हैं.","सभी नस्लों में सबसे बड़े कद की भेड़ें, जिनका मांस खाने के काम में आता है, लंबी ऊन पैदा करती हैं."
"भारत में सबसे बड़ा नगर निगमों वर्तमान में दिल्ली, कोलकाता और चेन्नई के बाद मुंबई रहे हैं.","भारत में सबसे बड़े नगर निगमों वर्तमान में दिल्ली, कोलकाता और चेन्नई के बाद मुंबई रहे हैं."
तीन साल में पूरा होगी योजना.,तीन साल में पूरी होगी योजना.
"नाव या नौका डाँड़, क्षेपणी, चप्पू, पतवार या पाल से चलनेवाला छोटा जलयान है.","नाव या नौका डाँड़, क्षेपणी, चप्पू, पतवार या पाल से चलनेवाला छोटी जलयान है."
"सट्टा, भारत में अवैध है.","सट्टा, भारत में वैध है."
"सट्टा, भारत में वैध है.","सट्टा, भारत में अवैध है."
उन्होंने आम आदमी पार्टी नाम से एक नया राजनीतिक दल की स्थापना की.,उन्होंने आम आदमी पार्टी नाम से एक नये राजनीतिक दल की स्थापना की.
ले स्वाभिमान खड़ा जहाँ शून्य हृदय रोते हो.,ले स्वाभिमान खड़े जहाँ शून्य हृदय रोते हो.
यह भारत में और दुनिया में विकलांगों के लिए पहली विशेष विश्वविद्यालय है.,यह भारत में और दुनिया में विकलांगों के लिए पहला विशेष विश्वविद्यालय है.
मस्जिद की मीनार 90 फुट ऊंची और खूबसूरत है.,मस्जिद का मीनार 90 फुट ऊंचा और खूबसूरत है.
एक लंबी लड़ाई के बाद दोनों तीसरी लेवल में पहुँच जाते है.,एक लंबी लड़ाई के बाद दोनों तीसरे लेवल में पहुँच जाते है.
इसे हरे कबूतर या हरित पक्ष कबूतर के नाम से भी जाना जाता है.,इसे हरा कबूतर या हरित पक्ष कबूतर के नाम से भी जाना जाता है.
चीनी भावचित्र दुनिया का सब से पुराना चलती आ रही लिखने की विधि है.,चीनी भावचित्र दुनिया की सब से पुरानी चलती आ रही लिखने की विधि है.
"1919 में स्थापित, यह भारत में सबसे पुराना इंजीनियरिंग संस्थानों में से एक है.","1919 में स्थापित, यह भारत के सबसे पुराने इंजीनियरिंग संस्थानों में से एक है."
