enc_input,dec_input
जल प्रदूषण पर नियंत्रण हेतु नालों का नियमित रूप से साफ सफाई करना चाहिए.,जल प्रदूषण पर नियंत्रण हेतु नालों की नियमित रूप से साफ सफाई करना चाहिए.
ये यूनिसन ग्रुप का सबसे बड़ी योजना थी.,ये यूनिसन ग्रुप की सबसे बड़ी योजना थी.
दाईं ओर दिया गया,दाईं ओर दिया गया
नासिरुद्दीन हैदर १८२७ से १८३७ तक अवध का नवाब रहा.,नासिरुद्दीन हैदर १८२७ से १८३७ तक अवध के नवाब रहे.
शेख सलीम चिश्ती की समाधि को भारत में मुगल स्थापत्य कला के उत्कृष्ट उदाहरण माना जाता है.,शेख सलीम चिश्ती की समाधि को भारत में मुगल स्थापत्य कला का उत्कृष्ट उदाहरण माना जाता है.
इनके बीच निर्मित जाली में ज्यामितीय आकारों के साथ बेलबूटों के आकर्षक नक्काशी है.,इनके बीच निर्मित जाली में ज्यामितीय आकारों के साथ बेलबूटों की आकर्षक नक्काशी है.
नोएडा एशिया की सबसे बड़ी औद्योगिक उपनगरों में से एक है.,नोएडा एशिया के सबसे बड़े औद्योगिक उपनगरों में से एक है.
गुरुद्वारा बंगला साहिब दिल्ली का सबसे महत्वपूर्ण गुरुद्वारों में से एक है.,गुरुद्वारा बंगला साहिब दिल्ली के सबसे महत्वपूर्ण गुरुद्वारों में से एक है.
जरासंध महाभारत कालीन मगध राज्य का नरेश थे और महाराजा भरत के वंशज भी थे.,जरासंध महाभारत कालीन मगध राज्य के नरेश थे और महाराजा भरत के वंशज भी थे.
वे लोग ढ़ींगरा के प्रचण्ड देशभक्ति से बहुत प्रभावित हुए.,वे लोग ढ़ींगरा की प्रचण्ड देशभक्ति से बहुत प्रभावित हुए.
वीर सावरकर ने वर्माजी के मार्गदर्शन पाकर लन्दन में रहकर लेखन कार्य किया था.,वीर सावरकर ने वर्माजी का मार्गदर्शन पाकर लन्दन में रहकर लेखन कार्य किया था.
राजा भोज मुंज के छोटे भाई सिंधुराज का पुत्र था.,राजा भोज मुंज के छोटे भाई सिंधुराज के पुत्र थे.
मैत्रायणी उपनिषद् कृष्ण यजुर्वेद की मैत्रायणि शाखा की एक उपनिषद् है.,मैत्रायणी उपनिषद् कृष्ण यजुर्वेद की मैत्रायणि शाखा का एक उपनिषद् है.
कादम्बरी संस्कृत साहित्य की महान उपन्यास है.,कादम्बरी संस्कृत साहित्य का महान उपन्यास है.
संस्कृत साहित्य के महाकवि कालिदास की प्रसिद्ध रचना अभिज्ञान शकुंतलम् का नायक दुष्यंत पुरुवंशी राजा थे.,संस्कृत साहित्य के महाकवि कालिदास की प्रसिद्ध रचना अभिज्ञान शकुंतलम् के नायक दुष्यंत पुरुवंशी राजा थे.
कालिंजर विजय अभियान में ही तोप के गोला लगने से शेरशाह की मृत्यु हो गई थी.,कालिंजर विजय अभियान में ही तोप का गोला लगने से शेरशाह की मृत्यु हो गई थी.
"परशुराम १९८९ की एक कन्न्ड़ भाषी चलचित्र है, जिसके प्रमुख कलाकार हैं डा राजकुमार.","परशुराम १९८९ का एक कन्न्ड़ भाषी चलचित्र है, जिसके प्रमुख कलाकार हैं डा राजकुमार."
भारत में परिवहन देश के अर्थव्यवस्था का एक महत्वपूर्ण भाग है.,भारत में परिवहन देश की अर्थव्यवस्था का एक महत्वपूर्ण भाग है.
मथुरा पश्चिम केंद्रीय रेलवे के मुख्य लाइन पर है.,मथुरा पश्चिम केंद्रीय रेलवे की मुख्य लाइन पर है.
हिंदी का प्रथम आत्मकथा बनारसीदास जैन कृत अर्द्धकथानक है.,हिंदी की प्रथम आत्मकथा बनारसीदास जैन कृत अर्द्धकथानक है.
हिन्दी शब्दसागर का नि‍मार्ण में आचार्य रामचंद्र शुक्ल आदि‍ का योगदान रहा है.,हिन्दी शब्दसागर के नि‍मार्ण में आचार्य रामचंद्र शुक्ल आदि‍ का योगदान रहा है.
पंजाब में गेहूं की बहुतायत उत्पादन शुरू किया गया.,पंजाब में गेहूं का बहुतायत उत्पादन शुरू किया गया.
ओलम्पिया में जियस की मू्र्ति प्राचीन विश्व का सात आश्चर्यो में से एक है.,ओलम्पिया में जियस की मू्र्ति प्राचीन विश्व के सात आश्चर्यो में से एक है.
पश्चिम बंगाल सरकार सागर द्वीप में एक गहरे पानी का बंदरगाह निर्माण की योजना बना रही है.,पश्चिम बंगाल सरकार सागर द्वीप में एक गहरे पानी के बंदरगाह निर्माण की योजना बना रही है.
जब हम चार वेदों का बात करते हैं तो उससे संहिता भाग का ही अर्थ लिया जाता है.,जब हम चार वेदों की बात करते हैं तो उससे संहिता भाग का ही अर्थ लिया जाता है.
ब्रह्मा का कमंडल से गंगा का जन्म.,ब्रह्मा के कमंडल से गंगा का जन्म.
परमाल रासो आदिकालीन हिंदी साहित्य की प्रसिद्ध वीरगाथात्मक रासोकाव्य है.,परमाल रासो आदिकालीन हिंदी साहित्य का प्रसिद्ध वीरगाथात्मक रासोकाव्य है.
मोबाइल फ़ोन के विकिरण मानव स्वास्थ और वातावर्ण पर गहरा प्रभाव डालता है.,मोबाइल फ़ोन का विकिरण मानव स्वास्थ और वातावर्ण पर गहरा प्रभाव डालता है.
"संसार के अधिकतर लोग मोबाइल फ़ोन का उपयोग करते है, इसलिये मोबाइल फ़ोन के विकिरण, चर्चा का विष्य बन गया है.","संसार के अधिकतर लोग मोबाइल फ़ोन का उपयोग करते हैं,"
के अनुसार नेनागढ़ के महाराज नरपाल ओर माढ़ो गढ़ के महाराज जम्भे बघेलेराय ने बघेल खण्ड के स्थापना की.,के अनुसार नेनागढ़ के महाराज नरपाल ओर माढ़ो गढ़ के महाराज जम्भे बघेलेराय ने बघेल खण्ड की स्थापना की.
चार अतिरिक्त स्थानों ने अभ्यास मैचों के मेजबानी की.,चार अतिरिक्त स्थानों ने अभ्यास मैचों की मेजबानी की.
