enc_input,dec_input
ये हार्मोन चयापचय की दर और कई अन्य शारीरिक तंत्रों के विकास और उनके कार्य की दर को भी प्रभावित करते हैं.,ये हार्मोन चयापचय की दर और कई अन्य शारीरिक तंत्रों के विकास और उनके कार्यों की दर को भी प्रभावित करते हैं.
18 वीं सदी के मध्य तक किले मुगल शासकों के कब्जे में रहे.,18 वीं सदी के मध्य तक किला मुगल शासकों के कब्जे में रहे.
यह दक्षिण कन्नड़ जिला में पड़ता है.,यह दक्षिण कन्नड़ जिले में पड़ता है.
इनके पूर्वज की भूमि पंजाब थी.,इनके पूर्वजों की भूमि पंजाब थी.
"कालिंजर दुर्ग, भारतीय राज्य उत्तर प्रदेश के बांदा जिला में स्थित एक दुर्ग है.","कालिंजर दुर्ग, भारतीय राज्य उत्तर प्रदेश के बांदा जिले में स्थित एक दुर्ग है."
मेगालोडोन के जीवाश्म से साक्ष्य मिलते हैं कि इसकी खुराक मे बड़े समुद्री जानवरों शामिल थे.,मेगालोडोन के जीवाश्म से साक्ष्य मिलते हैं कि इसकी खुराक मे बड़े समुद्री जानवर शामिल थे.
मानसा पंजाब के मानसा जिला का मुख्यालय है.,मानसा पंजाब के मानसा जिले का मुख्यालय है.
 उत्तर प्रदेश के आजमगढ़ जिला का मुख्यालय है., उत्तर प्रदेश के आजमगढ़ जिले का मुख्यालय है.
कोटद्वार उत्तराखण्ड राज्य के पौड़ी जिला का एक मुख्य नगर है.,कोटद्वार उत्तराखण्ड राज्य के पौड़ी जिले का एक मुख्य नगर है.
"बादामी, जिसका पूर्व नाम था वातापी, कर्नाटक राज्य के बागलकोट जिला का एक तालुका है.","बादामी, जिसका पूर्व नाम था वातापी, कर्नाटक राज्य के बागलकोट जिले का एक तालुक है."
"इनमें हेपेटोबिलियरी, न्युरोवैस्कुलर तथा वैस्कुलर इन्टरवेंशन अहम् है तथा यह विभाग कई अहम शोध कार्य में संलग्न है.","इनमें हेपेटोबिलियरी, न्युरोवैस्कुलर तथा वैस्कुलर इन्टरवेंशन अहम् है तथा यह विभाग कई अहम शोध कार्यों में संलग्न है."
निम्नलिखित देशों अंतरराष्ट्रीय जल सर्वेक्षण संगठन के सदस्य हैं.,निम्नलिखित देश अंतरराष्ट्रीय जल सर्वेक्षण संगठन के सदस्य हैं.
यह एक गोरखा इंफेंट्री रेजिमेंट है जिसमें नेपाली मूल के गोरखा सैनिकों शामिल हैं.,यह एक गोरखा इंफेंट्री रेजिमेंट है जिसमें नेपाली मूल के गोरखा सैनिक शामिल हैं.
